Institution,Generel trivsel,Faglig trivsel,Ro og orden,Social trivsel,Støtte og inspiration,Karaktergennemsnit 2013-2020,Antal karakterer 2013-2020
4kløverskolen,3.6921852103,3.6486370035,3.802372684,3.6486370035,3.1967370969,7.0544615385,325.0
Abildgårdskolen,3.6390702301,3.8356573417,3.8963585378,3.8356573417,3.4491029833,5.8456074766,321.0
Absalons Skole,3.5993336816,3.7983664015,3.8142144613,3.7983664015,3.1898953582,8.0567115385,520.0
"Absalonskolen, område Holbæk By",3.4508615937,3.6609181752,3.7441239295,3.6609181752,3.1075380192,6.7273902439,410.0
Action Efterskolen,,,,,,5.01375,16.0
Adventure Efterskolen Sønderjylland Skelde,,,,,,6.0971165644,163.0
Agedrup Skole,3.5181538534,3.6401834453,3.6125786113,3.6401834453,3.1149142038,6.4142,300.0
Agerbæk Skole,3.7025709886,3.6344072514,3.6857142857,3.6344072514,3.1982580457,6.5313207547,265.0
Agerskov Kristne Friskole,,,,,,6.8620111732,179.0
Agerskov Ungdomsskole,,,,,,6.4583222958,453.0
Agersted Friskole,,,,,,7.1455,40.0
Ahi International School,,,,,,7.3248275862,116.0
Ahlmann-Skolen,3.5950555333,3.6435466891,3.8784722167,3.6435466891,3.4870233833,7.5136111111,36.0
Al Hikma Skolen,,,,,,8.0975362319,138.0
Al Quds Skole,,,,,,7.0357407407,162.0
Albertslund Lille Skole,,,,,,8.3553246753,154.0
Albertslund Ungecenter,,,,,,4.1214285714,21.0
Al-Hilal Skolen,,,,,,6.4842708333,96.0
Al-Huda Skolen,,,,,,7.0871681416,113.0
Al-Irchad Skolen,,,,,,6.6133766234,77.0
Aller Friskole,,,,,,7.9038181818,55.0
Allerslev Skole,3.6301408189,3.7754001496,3.7169728766,3.7754001496,3.1221800342,8.2333111111,450.0
Allerød Privatskole,,,,,,9.0171681416,113.0
Allindelille Friskole,,,,,,7.2054411765,68.0
Alme Skole,,,,,,7.5975384615,130.0
Alminde-Viuf Fællesskole,3.6915645385,3.8110505276,3.9115384615,3.8110505276,3.1741387723,7.3416428571,420.0
Al-Salahiyah Skolen,,,,,,6.5991891892,111.0
"Alt i et-Skolen, Klinkby",4.0559436538,3.9631400769,4.25,3.9631400769,3.7252743462,8.8677777778,9.0
Amager Fælled Skole,3.8132009035,3.8066367105,3.8844950831,3.8066367105,3.327843311,6.6611151079,278.0
Amager Lille Skole,,,,,,7.4871612903,155.0
Amager Privatskole,,,,,,7.8552409639,166.0
Amager's International School,,,,,,7.5403921569,153.0
Amagerskolen,3.6588015592,3.6041868975,3.656122449,3.6041868975,3.2101648082,6.3633039648,227.0
Andreasskolen,,,,,,7.8986982249,169.0
Anholt Skole,3.6181814,3.8035708,3.85,3.8035708,3.1142854,10.225,4.0
Anna Trolles Skole,3.6918383259,3.5563868806,3.8196517313,3.5563868806,3.0873485672,6.8616875,160.0
Ans Skole,3.7387895352,3.6871612578,3.9786745315,3.6871612578,3.3201074961,7.0653361345,238.0
Ansager Skole,3.5247122661,3.5321202202,3.6867283889,3.5321202202,3.0039678148,6.9296575342,146.0
Ansgarskolen Vadehav,3.7857184389,3.7831567409,3.9412720418,3.7831567409,3.3755449665,7.0177227723,303.0
Antvorskov Skole,3.6248637705,3.6140047683,3.7235308997,3.6140047683,3.0305647827,7.1618634886,923.0
Appenæs Friskole,,,,,,6.6604347826,46.0
Arden Skole,3.7459308129,3.7010887661,3.8356009048,3.7010887661,3.3459883186,6.8032727273,330.0
Arenaskolen,3.3878862171,3.4922842093,3.6171874844,3.4922842093,3.1591141875,5.901056338,142.0
"Arresø Skole, Kregme",,,,,,6.5834951456,103.0
As Friskole & Naturbørnehave,,,,,,7.7408888889,45.0
Asgård Skole,3.6444653053,3.7871754491,3.6716374211,3.7871754491,3.1679573415,7.1521325052,483.0
Askov Højskole og Efterskole,,,,,,6.9513780919,283.0
Asnæs Skole,3.3179222832,3.4123904086,3.4190561505,3.4123904086,2.8602231971,6.8220950324,463.0
Assens Skole,3.5678839926,3.5233944526,3.7457107794,3.5233944526,3.1807608467,6.2807857143,140.0
Assentoftskolen,3.7279486822,3.7196937674,3.9481050698,3.7196937674,3.2563673906,7.3236879433,423.0
Astrup Friskole,,,,,,5.1971428571,7.0
Astrup-Sønderskov Friskole,,,,,,5.8725,16.0
